Conflict -- Danger of crashing
Robot 1 considering new position <21,40> at step 34
Robot 2 considering new position <21,40> at step 35
Resolving -- Robot 2 considering new alternative position <20,38> at step 34
** End of Conflict **
First Robot | Second Robot | Step
    (47,38)        (30 26)         0
    (46,38)        (30 25)         1
    (45,38)        (31 25)         2
    (44,38)        (32 25)         3
    (43,38)        (32 24)         4
    (43,39)        (32 23)         5
    (43,40)        (32 22)         6
    (42,40)        (31 22)         7
    (41,40)        (30 22)         8
    (40,40)        (29 22)         9
    (40,39)        (28 22)         10
    (39,39)        (27 22)         11
    (38,39)        (26 22)         12
    (37,39)        (25 22)         13
    (36,39)        (24 22)         14
    (35,39)        (24 23)         15
    (34,39)        (24 24)         16
    (34,40)        (24 25)         17
    (34,41)        (24 26)         18
    (33,41)        (24 27)         19
    (32,41)        (23 27)         20
    (32,40)        (23 28)         21
    (31,40)        (23 29)         22
    (30,40)        (23 30)         23
    (29,40)        (23 31)         24
    (29,41)        (23 32)         25
    (28,41)        (22 32)         26
    (27,41)        (22 33)         27
    (26,41)        (22 34)         28
    (25,41)        (22 35)         29
    (24,41)        (21 35)         30
    (23,41)        (21 36)         31
    (22,41)        (21 37)         32
    (21,41)        (21 38)         33
    (21,40)        (21 39)         34
    (21,39)        (22 39)         35
    (21,38)        (23 39)         36
    (20,38)        (24 39)         37
    (19,38)        (25 39)         38
    (18,38)        (26 39)         39
    (17,38)        (26 38)         40
    (17,37)        (27 38)         41
    (16,37)        (27 37)         42
    (15,37)        (28 37)         43
    (14,37)        (29 37)         44
    (14,36)        (29 38)         45
    (14,35)        (30 38)         46
    (13,35)        (30 39)         47
    (12,35)        (30 40)         48
    (11,35)        (31 40)         49
    (10,35)        (32 40)         50
    (10,34)        (32 41)         51
    (10,33)        (33 41)         52
    (10,32)        (34 41)         53
    (9,32)        (35 41)         54
    (8,32)        (36 41)         55
    (8,31)        (37 41)         56
    (8,30)        (38 41)         57
    (8,29)        (39 41)         58
    (8,28)        (40 41)         59
    (8,29)        (40 40)         60
    (8,30)        (40 39)         61
    (8,31)        (39 39)         62
    (7,31)        (38 39)         63
    (7,32)        (37 39)         64
    (7,33)        (36 39)         65
    (7,34)        (35 39)         66
    (8,34)        (34 39)         67
    (8,35)        (34 40)         68
    (8,36)        (34 41)         69
    (8,37)        (33 41)         70
    (7,37)        (32 41)         71
    (7,38)        (32 42)         72
    (7,39)        (32 43)         73
    (7,40)        (31 43)         74
    (7,41)        (30 43)         75
    (7,42)        (29 43)         76
    (6,42)        (28 43)         77
    (6,43)        (27 43)         78
    (5,43)        (26 43)         79
    (6,43)        (25 43)         80
    (7,43)        (25 44)         81
    (8,43)        (24 44)         82
    (9,43)        (23 44)         83
    (10,43)        (22 44)         84
    (11,43)        (21 44)         85
    (12,43)        (21 43)         86
    (13,43)        (20 43)         87
    (13,42)        (19 43)         88
    (14,42)        (18 43)         89
    (15,42)        (17 43)         90
    (15,41)        (16 43)         91
    (16,41)        (15 43)         92
    (17,41)        (15 42)         93
    (18,41)        (14 42)         94
    (19,41)        (13 42)         95
    (20,41)        (12 42)         96
    (21,41)        (11 42)         97
    (22,41)        (10 42)         98
    (23,41)        (9 42)         99
    (24,41)        (8 42)         100
    (25,41)        (7 42)         101
    (25,40)        (6 42)         102
    (25,39)        (6 43)         103
    (26,39)        (5 43)         104
    (26,38)        (4 43)         105
    (27,38)        (4 44)         106
    (27,37)        (4 43)         107
    (28,37)        (4 42)         108
    (29,37)        (4 41)         109
    (29,36)        (4 40)         110
    (29,35)        (4 39)         111
    (30,35)        (4 38)         112
    (30,34)        (4 37)         113
    (30,33)        (5 37)         114
    (30,32)        (5 36)         115
    (31,32)        (5 35)         116
    (31,31)        (5 34)         117
    (32,31)        (5 33)         118
    (32,30)        (6 33)         119
    (32,29)        (7 33)         120
    (32,28)        (7 32)         121
    (32,27)        (8 32)         122
    (32,26)        (8 31)         123
    (32,25)        (8 30)         124
    (32,24)        (8 29)         125
    (32,23)        (8 28)         126
    (32,22)        (8 27)         127
    (31,22)        (9 27)         128
    (30,22)        (10 27)         129
    (29,22)        (11 27)         130
    (28,22)        (12 27)         131
    (27,22)        (12 26)         132
    (26,22)        (12 25)         133
    (25,22)        (13 25)         134
    (24,22)        (14 25)         135
    (23,22)        (15 25)         136
    (22,22)        (16 25)         137
    (21,22)        (17 25)         138
    (20,22)        (18 25)         139
    (19,22)        (19 25)         140
    (19,23)        (20 25)         141
    (18,23)        (21 25)         142
    (18,24)        (22 25)         143
    (18,25)        (22 24)         144
    (17,25)        (23 24)         145
    (16,25)        (24 24)         146
    (15,25)        (25 24)         147
    (14,25)        (26 24)         148
    (13,25)        (27 24)         149
    (12,25)        (28 24)         150
    (11,25)        (29 24)         151
    (11,26)        (29 23)         152
    (11,27)        (29 22)         153
    (11,28)        (30 22)         154
    (10,28)        (31 22)         155
    (10,29)        (32 22)         156
    (9,29)        (33 22)         157
    (8,29)        (33 21)         158
    (8,30)        (33 20)         159
    (8,31)        (33 19)         160
    (7,31)        (34 19)         161
    (7,32)        (35 19)         162
    (6,32)        (35 18)         163
    (5,32)        (35 17)         164
    (4,32)        (35 16)         165
    (4,33)        (35 15)         166
    (4,34)        (35 14)         167
    (4,35)        (35 13)         168
    (4,36)        (35 12)         169
    (4,37)        (36 12)         170
    (4,38)        (37 12)         171
    (4,39)    Wait for 1st      172
    (4,40)    Wait for 1st      173
    (4,41)    Wait for 1st      174
    (4,42)    Wait for 1st      175
    (4,43)    Wait for 1st      176
    (4,44)    Wait for 1st      177
    (5,44)    Wait for 1st      178
    (6,44)    Wait for 1st      179
    (7,44)    Wait for 1st      180
    (8,44)    Wait for 1st      181
    (9,44)    Wait for 1st      182
    (9,43)    Wait for 1st      183
    (10,43)    Wait for 1st      184
    (11,43)    Wait for 1st      185
    (12,43)    Wait for 1st      186
    (13,43)    Wait for 1st      187
    (13,42)    Wait for 1st      188
    (14,42)    Wait for 1st      189
    (15,42)    Wait for 1st      190
    (15,41)    Wait for 1st      191
    (16,41)    Wait for 1st      192
    (17,41)    Wait for 1st      193
    (18,41)    Wait for 1st      194
    (19,41)    Wait for 1st      195
    (20,41)    Wait for 1st      196
    (21,41)    Wait for 1st      197
    (22,41)    Wait for 1st      198
    (23,41)    Wait for 1st      199
    (23,40)    Wait for 1st      200
    (23,39)    Wait for 1st      201
    (23,38)    Wait for 1st      202
    (23,37)    Wait for 1st      203
    (24,37)    Wait for 1st      204
    (24,36)    Wait for 1st      205
    (24,35)    Wait for 1st      206
    (25,35)    Wait for 1st      207
    (26,35)    Wait for 1st      208
    (26,34)    Wait for 1st      209
    (26,33)    Wait for 1st      210
    (26,32)    Wait for 1st      211
    (27,32)    Wait for 1st      212
    (28,32)    Wait for 1st      213
    (28,31)    Wait for 1st      214
    (28,30)    Wait for 1st      215
    (29,30)    Wait for 1st      216
    (29,29)    Wait for 1st      217
    (29,28)    Wait for 1st      218
    (29,27)    Wait for 1st      219
    (29,26)    Wait for 1st      220
    (30,26)    Wait for 1st      221
    (30,25)    Wait for 1st      222
    (31,25)    Wait for 1st      223
    (32,25)    Wait for 1st      224
    (32,24)    Wait for 1st      225
    (32,23)    Wait for 1st      226
    (33,23)    Wait for 1st      227
    (33,22)    Wait for 1st      228
    (33,21)    Wait for 1st      229
    (33,20)    Wait for 1st      230
    (33,19)    Wait for 1st      231
    (34,19)    Wait for 1st      232
    (35,19)    Wait for 1st      233
    (35,18)    Wait for 1st      234
    (35,17)    Wait for 1st      235
    (35,16)    Wait for 1st      236
    (35,15)    Wait for 1st      237
    (35,14)    Wait for 1st      238
    (35,13)    Wait for 1st      239
    (35,12)    Wait for 1st      240
    (36,12)    Wait for 1st      241
    (37,12)    Wait for 1st      242
    (37,13)    Wait for 1st      243
    (37,12)        (36 12)         244
    (38,12)        (35 12)         245
    (39,12)        (34 12)         246
    (40,12)        (33 12)         247
    (41,12)        (33 13)         248
    (42,12)        (33 14)         249
    (43,12)        (33 15)         250
    (44,12)        (32 15)         251
    (45,12)        (32 16)         252
    (45,13)        (32 17)         253
    (45,14)        (32 18)         254
    (45,15)        (32 19)         255
    (45,16)        (31 19)         256
    (45,17)        (31 20)         257
    (45,18)        (31 21)         258
    (45,19)        (31 22)         259
    (45,20)        (31 23)         260
    (45,21)        (31 24)         261
    (45,22)        (31 25)         262
    (45,23)        (30 25)         263
    (45,24)        (30 26)         264
    (45,25)    Wait for 1st      265
    (46,25)    Wait for 1st      266
    (46,26)    Wait for 1st      267
    (47,26)    Wait for 1st      268
    (47,27)    Wait for 1st      269
    (47,28)    Wait for 1st      270
    (47,29)    Wait for 1st      271
    (47,30)    Wait for 1st      272
    (47,31)    Wait for 1st      273
    (48,31)    Wait for 1st      274
    (48,32)    Wait for 1st      275
    (48,33)    Wait for 1st      276
    (47,33)    Wait for 1st      277
    (47,34)    Wait for 1st      278
    (47,35)    Wait for 1st      279
    (47,36)    Wait for 1st      280
    (47,37)    Wait for 1st      281
    (47,38)    Wait for 1st      282
Number of nodes: 2299
