Conflict -- Danger of crashing
Robot 1 considering new position <22,39> at step 36
Robot 2 considering new position <22,39> at step 37
Resolving -- Robot 2 considering new alternative position <21,40> at step 37
** End of Conflict **
First Robot | Second Robot | Step
    (47,38)        (30 26)         0
    (46,38)        (30 25)         1
    (45,38)        (31 25)         2
    (44,38)        (32 25)         3
    (43,38)        (32 24)         4
    (43,39)        (32 23)         5
    (43,40)        (32 22)         6
    (42,40)        (31 22)         7
    (41,40)        (30 22)         8
    (40,40)        (29 22)         9
    (40,39)        (28 22)         10
    (39,39)        (27 22)         11
    (38,39)        (26 22)         12
    (37,39)        (25 22)         13
    (36,39)        (24 22)         14
    (35,39)        (23 22)         15
    (34,39)        (22 22)         16
    (34,40)        (22 23)         17
    (34,41)        (22 24)         18
    (33,41)        (22 25)         19
    (32,41)        (21 25)         20
    (32,40)        (21 26)         21
    (31,40)        (21 27)         22
    (30,40)        (21 28)         23
    (30,39)        (21 29)         24
    (30,38)        (21 30)         25
    (29,38)        (21 31)         26
    (29,37)        (22 31)         27
    (28,37)        (22 32)         28
    (27,37)        (22 33)         29
    (26,37)        (22 34)         30
    (26,38)        (22 35)         31
    (25,38)        (21 35)         32
    (24,38)        (21 36)         33
    (23,38)        (21 37)         34
    (23,39)        (21 38)         35
    (22,39)        (21 39)         36
    (21,39)        (21 40)         37
    (21,38)        (22 40)         38
    (20,38)        (23 40)         39
    (19,38)        (24 40)         40
    (18,38)        (25 40)         41
    (17,38)        (25 39)         42
    (17,37)        (26 39)         43
    (16,37)        (26 38)         44
    (15,37)        (27 38)         45
    (14,37)        (27 37)         46
    (14,36)        (28 37)         47
    (14,35)        (29 37)         48
    (13,35)        (29 38)         49
    (12,35)        (30 38)         50
    (11,35)        (30 39)         51
    (10,35)        (30 40)         52
    (9,35)        (31 40)         53
    (8,35)        (32 40)         54
    (8,34)        (32 41)         55
    (7,34)        (33 41)         56
    (7,33)        (34 41)         57
    (7,32)        (35 41)         58
    (8,32)        (36 41)         59
    (8,31)        (37 41)         60
    (8,30)        (38 41)         61
    (8,29)        (39 41)         62
    (8,28)        (40 41)         63
    (7,28)        (40 40)         64
    (6,28)        (40 39)         65
    (6,29)        (39 39)         66
    (6,30)        (38 39)         67
    (5,30)        (37 39)         68
    (5,31)        (36 39)         69
    (5,32)        (35 39)         70
    (5,33)        (34 39)         71
    (5,34)        (34 40)         72
    (5,35)        (34 41)         73
    (5,36)        (33 41)         74
    (5,37)        (32 41)         75
    (4,37)        (32 42)         76
    (4,38)        (32 43)         77
    (4,39)        (31 43)         78
    (5,39)        (30 43)         79
    (5,40)        (29 43)         80
    (5,41)        (28 43)         81
    (6,41)        (27 43)         82
    (6,42)        (26 43)         83
    (6,43)        (25 43)         84
    (5,43)        (25 44)         85
    (6,43)        (24 44)         86
    (7,43)        (23 44)         87
    (8,43)        (22 44)         88
    (9,43)        (21 44)         89
    (10,43)        (21 43)         90
    (11,43)        (20 43)         91
    (12,43)        (19 43)         92
    (13,43)        (18 43)         93
    (13,42)        (17 43)         94
    (14,42)        (16 43)         95
    (15,42)        (15 43)         96
    (15,41)        (15 44)         97
    (16,41)        (14 44)         98
    (17,41)        (13 44)         99
    (18,41)        (12 44)         100
    (19,41)        (11 44)         101
    (20,41)        (11 43)         102
    (21,41)        (10 43)         103
    (22,41)        (9 43)         104
    (23,41)        (8 43)         105
    (24,41)        (7 43)         106
    (25,41)        (6 43)         107
    (26,41)        (5 43)         108
    (27,41)        (4 43)         109
    (28,41)        (4 44)         110
    (29,41)        (5 44)         111
    (30,41)        (6 44)         112
    (30,40)        (7 44)         113
    (30,39)        (8 44)         114
    (30,38)        (8 43)         115
    (31,38)        (8 42)         116
    (31,37)        (8 41)         117
    (32,37)        (8 40)         118
    (32,36)        (8 39)         119
    (32,35)        (8 38)         120
    (32,34)        (8 37)         121
    (32,33)        (8 36)         122
    (33,33)        (8 35)         123
    (33,32)        (8 34)         124
    (33,31)        (7 34)         125
    (32,31)        (7 33)         126
    (32,30)        (7 32)         127
    (32,29)        (8 32)         128
    (32,28)        (8 31)         129
    (32,27)        (8 30)         130
    (32,26)        (8 29)         131
    (32,25)        (8 28)         132
    (32,24)        (8 27)         133
    (32,23)        (9 27)         134
    (32,22)        (10 27)         135
